Date,Non-mortgage loans,Chartered banks 1,Personal loans 1 2,Of which: Auto loans 1 2,Credit cards 1 2,Lines of credit 1 2 4,"Lines of credit, of which: excluding home equity lines of credit 1 2",Other personal loans 1 2,Unincorporated business 1 2,Non-banks 1,Government 1 5,Non-bank financial corporations 1 5,Credit unions and caisse populaires 1 5,Trust companies and mortgage loan companies 1 5,Financial vehicle corporations engaged in securitization 1 6,Other financial corporations n.e.i. 1 7,Other lenders n.e.i. 1 8,Mortgage loans,Residential mortgages 9,Chartered banks 9 10,Non-banks 9 10,Government 9 10,Non-bank financial corporations 9 10 11,Of which: financial vehicle corporations engaged in securitization 6 9 10,Of which: off balance-sheet NHA-MBS 9 10 12,Other lenders n.e.i. 8 9 10,Non-residential mortgages 9,Chartered banks 9 13,Non-banks 9 13,Government 9 13,Non-bank financial corporations 9 13,Of which: financial vehicle corporations engaged in securitization 6 9 13,Other lenders n.e.i. 8 9 13,Total credit liabilities of households,Of which: real estate secured lending 14,Residential mortgages 14,Chartered banks 10 14,Non-banks 10 14,Non-residential mortgages 14,Chartered banks 13 14,Non-banks 13 14,Home equity lines of credit 14,Chartered banks 14,Non-banks 14 15
3/1/1991,"126,107","81,267","31,813",0,"9,743","7,073","1,631","17,370","15,268","44,840",455,"41,287","16,450","8,396",0,"16,441","3,098","254,429","251,877","98,643","153,234",237,"147,040","5,357","5,110","5,957","2,552",324,"2,228",117,"1,927",0,184,"380,536","259,871","251,877","98,643","153,234","2,552",324,"2,228","5,442","5,442",0
4/1/1991,"127,000","81,959","31,828",0,"9,864","7,175","1,659","17,545","15,547","45,041",446,"41,502","16,650","8,464",108,"16,280","3,093","255,879","253,314","99,186","154,128",240,"147,883","5,539","5,275","6,005","2,565",329,"2,236",118,"1,933",0,185,"382,879","261,396","253,314","99,186","154,128","2,565",329,"2,236","5,517","5,517",0
5/1/1991,"127,801","82,713","31,858",0,"9,992","7,448","1,726","17,575","15,840","45,088",437,"41,564","16,756","8,474",220,"16,114","3,087","257,667","255,078","99,943","155,135",243,"148,837","5,726","5,447","6,055","2,589",336,"2,253",119,"1,948",0,186,"385,468","263,389","255,078","99,943","155,135","2,589",336,"2,253","5,722","5,722",0
6/1/1991,"128,439","83,184","31,812",0,"10,073","7,586","1,763","17,634","16,079","45,255",428,"41,745","17,094","8,370",328,"15,953","3,082","259,650","257,033","101,266","155,767",245,"149,419","5,908","5,612","6,103","2,617",345,"2,272",120,"1,965",0,187,"388,089","265,473","257,033","101,266","155,767","2,617",345,"2,272","5,823","5,823",0
7/1/1991,"128,529","82,746","31,653",0,"9,975","7,848","1,829","17,445","15,825","45,783",420,"42,285","17,398","8,336",452,"16,099","3,078","262,714","260,093","103,579","156,514",247,"150,111","6,157","5,845","6,156","2,621",342,"2,279",121,"1,970",0,188,"391,243","268,733","260,093","103,579","156,514","2,621",342,"2,279","6,019","6,019",0
8/1/1991,"128,654","82,340","31,464",0,"10,065","7,796","1,822","17,437","15,578","46,314",413,"42,826","17,640","8,367",575,"16,244","3,075","264,672","262,034","104,767","157,267",249,"150,809","6,407","6,077","6,209","2,638",345,"2,293",123,"1,980",0,190,"393,326","270,646","262,034","104,767","157,267","2,638",345,"2,293","5,974","5,974",0
9/1/1991,"128,877","82,202","31,288",0,"10,255","7,896","1,850","17,381","15,382","46,675",405,"43,199","17,719","8,400",695,"16,385","3,071","266,852","264,206","106,072","158,134",251,"151,622","6,648","6,302","6,261","2,646",340,"2,306",124,"1,991",0,191,"395,729","272,898","264,206","106,072","158,134","2,646",340,"2,306","6,046","6,046",0
10/1/1991,"129,006","82,262","31,041",0,"10,211","8,106","1,901","17,536","15,368","46,744",398,"43,279","17,755","8,440","1,090","15,994","3,067","268,504","265,858","106,944","158,914",250,"152,423","6,958","6,596","6,241","2,646",341,"2,305",123,"1,991",0,191,"397,510","274,709","265,858","106,944","158,914","2,646",341,"2,305","6,205","6,205",0
11/1/1991,"128,607","81,885","30,734",0,"10,143","8,023","1,883","17,713","15,272","46,722",392,"43,267","17,708","8,470","1,472","15,617","3,063","270,089","267,445","107,632","159,813",249,"153,343","7,259","6,880","6,221","2,644",340,"2,304",122,"1,992",0,190,"398,696","276,228","267,445","107,632","159,813","2,644",340,"2,304","6,139","6,139",0
12/1/1991,"128,695","81,991","30,596",0,"10,377","8,146","1,914","17,605","15,267","46,704",385,"43,260","17,627","8,540","1,867","15,226","3,059","271,770","269,117","108,527","160,590",248,"154,141","7,569","7,174","6,201","2,653",348,"2,305",122,"1,993",0,190,"400,465","278,002","269,117","108,527","160,590","2,653",348,"2,305","6,232","6,232",0
1/1/1992,"128,703","82,091","30,198",0,"10,523","8,219","1,917","17,807","15,344","46,612",374,"43,186","17,644","8,542","1,758","15,242","3,052","272,055","269,373","109,045","160,328",248,"153,987","7,839","7,378","6,093","2,682",365,"2,317",123,"2,006",0,188,"400,758","278,356","269,373","109,045","160,328","2,682",365,"2,317","6,301","6,301",0
2/1/1992,"127,844","80,929","29,967",0,"9,802","8,359","1,936","17,616","15,185","46,915",364,"43,505","17,822","8,615","1,812","15,256","3,046","272,214","269,516","109,396","160,120",248,"153,881","8,091","7,570","5,991","2,698",370,"2,328",123,"2,019",0,186,"400,058","278,636","269,516","109,396","160,120","2,698",370,"2,328","6,422","6,422",0
3/1/1992,"128,337","81,182","30,081",0,"9,625","8,504","1,956","17,681","15,291","47,155",353,"43,763","17,824","8,799","1,868","15,272","3,039","272,935","270,219","110,258","159,961",249,"153,829","8,361","7,774","5,883","2,716",377,"2,339",123,"2,032",0,184,"401,272","279,483","270,219","110,258","159,961","2,716",377,"2,339","6,548","6,548",0
4/1/1992,"128,203","81,096","29,860",0,"9,764","8,601","1,976","17,542","15,329","47,107",343,"43,749","17,672","8,876","1,871","15,330","3,015","275,135","272,431","111,488","160,943",250,"154,862","8,696","8,046","5,831","2,704",374,"2,330",124,"2,023",0,183,"403,338","281,759","272,431","111,488","160,943","2,704",374,"2,330","6,624","6,624",0
5/1/1992,"128,373","81,038","29,682",0,"9,937","8,688","1,995","17,358","15,373","47,335",334,"44,011","17,915","8,832","1,873","15,391","2,990","277,411","274,705","113,144","161,561",252,"155,533","9,042","8,327","5,776","2,706",375,"2,331",124,"2,025",0,182,"405,784","284,104","274,705","113,144","161,561","2,706",375,"2,331","6,693","6,693",0
6/1/1992,"128,820","81,340","29,626",0,"10,009","8,740","2,006","17,480","15,485","47,480",324,"44,190","18,105","8,766","1,870","15,449","2,966","279,678","276,973","114,657","162,316",254,"156,338","9,377","8,599","5,724","2,705",371,"2,334",125,"2,028",0,181,"408,498","286,412","276,973","114,657","162,316","2,705",371,"2,334","6,734","6,734",0
7/1/1992,"129,303","81,569","29,599",0,"10,162","8,814","2,037","17,522","15,472","47,734",314,"44,476","18,369","8,793","1,874","15,440","2,944","281,486","278,778","116,340","162,438",255,"156,506","9,855","9,013","5,677","2,708",377,"2,331",125,"2,026",0,180,"410,789","288,263","278,778","116,340","162,438","2,708",377,"2,331","6,777","6,777",0
8/1/1992,"129,037","81,326","29,555",0,"10,319","8,879","2,067","17,203","15,370","47,711",304,"44,484","18,348","8,830","1,875","15,431","2,923","282,913","280,201","117,271","162,930",255,"157,045","10,334","9,427","5,630","2,712",382,"2,330",125,"2,026",0,179,"411,950","289,725","280,201","117,271","162,930","2,712",382,"2,330","6,812","6,812",0
9/1/1992,"129,893","82,079","29,559",0,"10,541","9,025","2,115","17,499","15,455","47,814",294,"44,618","18,423","8,900","1,872","15,423","2,902","284,592","281,876","118,432","163,444",256,"157,603","10,797","9,827","5,585","2,716",390,"2,326",126,"2,022",0,178,"414,485","291,501","281,876","118,432","163,444","2,716",390,"2,326","6,909","6,909",0
